name, description, url
Maricopa (Ak Chin) Indian Reservation, American Indian reservation, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AMaricopa%20%20Indian%20Reservation
Maricopa (Ak-Chin) Indian Reservation, American Indian reservation, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AMaricopa%20%20Indian%20Reservation
Lake Vermilion Indian Reservation, American Indian reservation, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ALake%20Vermilion%20Indian%20Reservation
Little River Band of Ottawa Indians Manistee Reservation, American Indian reservation, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ALittle%20River%20Band%20of%20Ottawa%20Indians%20Manistee%20Reservation
Gila Peak Indian Reservation, American Indian reservation, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AGila%20Peak%20Indian%20Reservation
Fort Kipp, American Indian reservation, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AFort%20Kipp
Fort Pierce Indian Reservation, American Indian reservation, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AFort%20Pierce%20Indian%20Reservation
Nett Lake Indian Reservation, American Indian reservation, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ANett%20Lake%20Indian%20Reservation
Immokalee Indian Reservation, American Indian reservation, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AImmokalee%20Indian%20Reservation
Deer Creek Indian Reservation, American Indian reservation, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ADeer%20Creek%20Indian%20Reservation
Spirit Lake Indian Reservation, American Indian reservation, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ASpirit%20Lake%20Indian%20Reservation
Hamilton Aged & Infirmed, Alabama state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AHamilton%20Aged%20%26%20InfirmedAlex City Work Release Center, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=Alex%20City%20Work%20Release%20Center
Birmingham Work Release Center, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ABirmingham%20Work%20Release%20Center
Decatur Work Release Center, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ADecatur%20Work%20Release%20Center
Atmore Work Release Center, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AAtmore%20Work%20Release%20Center
Bullock Work Release Center, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ABullock%20Work%20Release%20Center
Childersburg Boot & Work Camp, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AChildersburg%20Boot%20%26%20Work%20Camp
Montgomery Work Release Center, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AMontgomery%20Work%20Release%20Center
Red Eagle Honor Farm, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ARed%20Eagle%20Honor%20Farm%0A
Elba Work Release Center, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AElba%20Work%20Release%20Center
Loxley Work Release Center, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ALoxley%20Work%20Release%20Center
Camden Work Release Center, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ACamden%20Work%20Release%20Center
Mobile Work Release Center, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AMobile%20Work%20Release%20Center
Childersburg Work Release Center, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AChildersburg%20Work%20Release%20Center
Loxley Community Work Camp, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ALoxley%20Community%20Work%20Camp
Hamilton Work Release Center, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AHamilton%20Work%20Release%20Center
Frank Lee Youth Center, Alabama work release center, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AFrank%20Lee%20Youth%20Center
Anvil Mountain Correctional Center, Alaska state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AAnvil%20Mountain%20Correctional%20Center
Mat-Su Pretrial Facility, Alaska state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AMat-Su%20Pretrial%20Facility
Hiland Mountain Correctional Center, Alaska state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AHiland%20Mountain%20Correctional%20Center
Lemon Creek Correctional Center, Alaska state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ALemon%20Creek%20Correctional%20Center
Ketchikan Correctional Center, Alaska state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AKetchikan%20Correctional%20Center
Anchorage Correctional Complex West, Alaska state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AAnchorage%20Correctional%20Complex%20West
Palmer Medium and Minimum Correctional Centers, Alaska state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0APalmer%20Medium%20and%20Minimum%20Correctional%20Centers
Wildwood Correctional Center, Alaska state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AWildwood%20Correctional%20Center
Yukon-Kuskokwim Correctional Center, Alaska state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AYukon-Kuskokwim%20Correctional%20Center
Wildwood Pretrial Facility, Alaska state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AWildwood%20Pretrial%20FacilityAnchorage Correctional Complex East, Alaska state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=Anchorage%20Correctional%20Complex%20East
Fairbanks Correctional Center, Alaska state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AFairbanks%20Correctional%20Center
Avon Park Air Force Range, automatic tracking radar station, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0AAvon%20Park%20Air%20Force%20Range
Livermore Valley Correctional Prison (LVCP), California state prison, https://en.wikipedia.org/w/api.php?action=opensearch&format=json&search=&search=%0ALivermore%20Valley%20Correctional%20Prison%20
